entity_text,label,count
Gallia,loc,10
Tarquinius,pers,10
B.C. 76,scope,10
Megistonous,pers,10
T.,pers,10
Caius Marius,pers,10
106,scope,10
B.C. 58,scope,10
Euboea,loc,10
Taurus,pers,10
Deidameia,pers,10
Argolis,loc,10
c. 37,scope,10
Orelli,pers,10
Asia,pers,10
Pytheas,pers,10
Ulysses,pers,10
Leontidas,pers,10
105,scope,10
Mucius Scævola,pers,10
Amphares,pers,10
Mummius,pers,10
Neapolis,loc,10
Shakspere,pers,10
c. 18,scope,10
Albinus,pers,10
Sextilius,pers,10
Thirlwall,pers,10
Leptines,pers,10
Brutus,work,10
Lacedæmonians,pers,10
"11, 12",scope,10
Artabazus,pers,10
Thrasybulus,pers,10
Crassus,loc,10
Numidicus,pers,10
Smyrna,loc,10
Idomeneus,pers,10
Akrotatus,pers,10
Petreius,pers,10
Thespiæ,loc,10
Philo,pers,10
86,scope,10
Clodia,pers,10
Isauricus,pers,10
Ion,pers,10
Clough,pers,10
Philochorus,pers,9
Æakides,pers,9
Philometor,pers,9
78,scope,9
Ismenias,pers,9
(xlvii,scope,9
Clinton,pers,9
83,scope,9
Skyros,loc,9
Arrhidæus,pers,9
Lake,work,9
Balbus,pers,9
Hellanikus,pers,9
Granius,pers,9
Thessalonica,loc,9
Caucasus,loc,9
84,scope,9
Peukestas,pers,9
Susa,loc,9
Alba,loc,9
B.C. 54,scope,9
Caspian,loc,9
Hamilton,pers,9
Corinthian,work,9
Aristander,pers,9
138,scope,9
Tyre,loc,9
Anaxarchus,pers,9
Equites,work,9
C. Julius Cæsar,pers,9
Sellasia,loc,9
c. 45,scope,9
Mucia,pers,9
Amphipolis,loc,9
Aeneas,pers,9
Ariston,pers,9
Servius,pers,9
Ariarathes,pers,9
Servilius Cæpio,pers,9
Asinius,pers,9
Latium,loc,9
Naples,loc,9
Nemesis,pers,9
Reiske,pers,9
Quintilis,pers,9
Mæotis,loc,9
Munychia,loc,9
Curius,pers,9
Alkibiades,work,9
Tellus,pers,9
Herennius,pers,9
Areus,pers,9
Mithridat,pers,9
North,loc,9
c. 11,scope,9
c. 22,scope,9
Cyrene,loc,9
Pythia,work,9
Gall.,pers,9
Crispinus,pers,9
c. 6,scope,9
Sossius,pers,9
Autolykus,pers,9
Livy,pers,9
Arcadia,work,9
Lænas,pers,9
Karia,loc,9
Axius,pers,9
Pelops,pers,9
Pelusium,loc,9
Rutilius,pers,9
Plebs,work,9
Apollo,work,9
133,scope,9
Appius Claudius,pers,9
Phokis,pers,9
Penny,work,9
Paterc.,pers,9
Speusippus,pers,9
Sosis,pers,9
c. 52,scope,9
Marcus Antonius,pers,9
75,scope,9
Mauritania,loc,9
Andromachus,pers,9
Herodes,pers,9
Antigenes,pers,9
Pergamum,pers,9
Kratinus,pers,9
Pallas,pers,9
Onesikritus,pers,9
Eubœa,loc,9
Pyrenees,work,9
Pantauchus,pers,9
Teutones,pers,9
Kleinias,pers,9
Tolmides,pers,9
Aufidius,pers,9
Kratippus,pers,9
Ajax,pers,9
Hiero,pers,9
Flora,pers,9
Agesipolis,pers,9
Hagnonides,pers,9
c. 36,scope,9
Gulf,work,9
Dacier,pers,9
Miletus,pers,9
Deinokrates,pers,9
Technon,pers,9
Taurus,work,9
109,scope,9
Charilaus,pers,8
Catos,pers,8
B.C. 45,scope,8
Cæcilia,pers,8
146,scope,8
c. 48,scope,8
400,scope,8
Monæses,pers,8
Mount,work,8
101,scope,8
c. 42,scope,8
Mithridatic War,work,8
Tyrannio,pers,8
103,scope,8
c. 15,scope,8
Numidia,pers,8
Aristokrates,pers,8
154,scope,8
Hyrkania,loc,8
C.,work,8
Lampsakus,loc,8
Thermodon,work,8
Nasica,loc,8
Nikagoras,pers,8
Thessalus,pers,8
Artagerses,pers,8
Lathyrus,pers,8
Euryptolemus,pers,8
Larissa,loc,8
162,scope,8
Aeschylus,pers,8
Iberia,pers,8
Hostilius,pers,8
Illyricum,loc,8
Heraklea,pers,8
Thessalia,loc,8
197,scope,8
Theodorus,pers,8
202,scope,8
Caucasus,work,8
Circus,work,8
96,scope,8
Pharsalia,loc,8
Philokles,pers,8
"8,",scope,8
"8, 10",scope,8
91,scope,8
Ægean,work,8
Chæroneia,loc,8
Ægium,loc,8
"1,",scope,8
Chersonese,work,8
Phanias,pers,8
i.,scope,8
Bandius,pers,8
B.C. 46,scope,8
Geschichte Roms,work,8
163,scope,8
Tullia,pers,8
Carrhæ,loc,8
c. 30,scope,8
Eratosthenes,pers,8
Troad,work,8
Kyzikus,loc,8
Milesian,pers,8
Cannæ,loc,8
Andros,pers,8
Admetus,pers,8
Galba,loc,8
Gaul,pers,8
Tegyra,loc,8
322,scope,8
Fannia,pers,8
Menander,pers,8
Rhine,work,8
Timophanes,pers,8
Hipponikus,pers,8
Tarchetius,pers,8
B.C. 62,scope,8
Antyllus,pers,8
Roxana,pers,8
Peloponnesus,work,8
Boukephalus,pers,8
Olthakus,pers,8
Solon,loc,8
B.C. 83,scope,8
235,scope,8
Hipparchus,pers,8
B.C. 59,scope,8
Meton,pers,8
Kritias,pers,8
Carthage,pers,8
Pamphylia,loc,8
Vindicius,pers,8
110,scope,8
125,scope,8
Antigone,pers,8
Areius,pers,8
Mellon,pers,8
Paris,loc,8
Panætius,pers,8
Panteus,pers,8
Spithridates,pers,8
Spurius,pers,8
Straits,work,8
Statyllius,pers,8
Kaphis,pers,8
Dekeleia,pers,8
Kallimachus,pers,8
480,scope,8
Arcadian,work,8
Apollonides,pers,8
Tiro,pers,8
Timokrates,pers,8
Timaeus,pers,8
Picenum,loc,8
Pomponius,pers,8
Peloponnesians,work,8
Peloponnesian,loc,8
299,scope,8
Venus,loc,8
Aphrodite,pers,8
Samnites,work,8
Vesta,loc,8
Venus,pers,8
Apelles,pers,8
Dion Cass.,pers,8
Saturnalia,work,8
"5,",scope,8
Claudius Marcellus,pers,8
Philippides,pers,8
Philotis,pers,7
eighth,scope,7
Phillidas,pers,7
195,scope,7
Band,work,7
Phokus,pers,7
203,scope,7
"8, 12",scope,7
Phlius,pers,7
Pherekydes,pers,7
Cic.,work,7
of,loc,7
Gisco,pers,7
Castor,pers,7
Platæa,pers,7
Strato,pers,7
Chilonis,pers,7
Cominius,pers,7
304,scope,7
Poppæa,pers,7
Patroklus,pers,7
Pollux,pers,7
300,scope,7
Apuleius,pers,7
Livius Drusus,pers,7
Hermokrates,pers,7
Lykomedes,pers,7
Lucius Domitius,pers,7
Virgil,pers,7
Virginius Rufus,pers,7
Victory,pers,7
Volumnia,pers,7
Demetrias,pers,7
Arbela,loc,7
Antistia,pers,7
123,scope,7
Calvinus,pers,7
Mannert,pers,7
Polyeuktus,pers,7
Achæa,loc,7
Pompeius Strabo,pers,7
Blossius,pers,7
